onet_soc_code,soc_code,occupation_title,occupation_description,a_median,tot_emp,median_wage_percentile,employment_percentile,labor_market_opportunity_score,interest_realistic,interest_investigative,interest_artistic,interest_social,interest_enterprising,interest_conventional,job_zone,education_expected_category,education_bachelors_or_higher_pct,essential_skill_active_learning_im,essential_skill_active_listening_im,essential_skill_critical_thinking_im,essential_skill_mathematics_im,essential_skill_reading_comprehension_im,essential_skill_science_im,essential_skill_speaking_im,essential_skill_writing_im,transferable_skill_complex_problem_solving_im,transferable_skill_coordination_im,transferable_skill_instructing_im,transferable_skill_judgment_and_decision_making_im,transferable_skill_management_of_financial_resources_im,transferable_skill_management_of_material_resources_im,transferable_skill_management_of_personnel_resources_im,transferable_skill_negotiation_im,transferable_skill_operation_and_control_im,transferable_skill_operations_analysis_im,transferable_skill_operations_monitoring_im,transferable_skill_persuasion_im,transferable_skill_programming_im,transferable_skill_quality_control_analysis_im,transferable_skill_repairing_im,transferable_skill_service_orientation_im,transferable_skill_social_perceptiveness_im,transferable_skill_systems_analysis_im,transferable_skill_systems_evaluation_im,transferable_skill_technology_design_im,transferable_skill_time_management_im,transferable_skill_troubleshooting_im
19-1023.00,19-1023,Zoologists and Wildlife Biologists,"Study the origins, behavior, diseases, genetics, and life processes of animals and wildlife. May specialize in wildlife research and management. May collect and analyze biological data to determine the environmental effects of present and potential use of land and water habitats.",76780.0,18120.0,0.6171548117154811,0.2736732570239334,0.4454140343697073,5.43,6.99,2.31,2.55,2.33,3.7,4.0,6.967696769676968,99.99,3.62,4.0,4.0,3.0,4.0,3.88,4.0,3.88,4.0,3.75,3.0,4.0,2.25,2.25,3.0,3.12,2.0,2.0,2.75,3.12,1.88,2.12,1.0,3.0,3.25,3.25,3.0,2.0,3.38,1.62
19-1029.00,19-1029,"Biological Scientists, All Other",All biological scientists not listed separately.,98920.0,55850.0,0.7740585774058577,0.514047866805411,0.6440532221056343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-1029.01,19-1029,Bioinformatics Scientists,"Conduct research using bioinformatics theory and methods in areas such as pharmaceuticals, medical technology, biotechnology, computational biology, proteomics, computer information science, biology and medical informatics. May design databases and develop algorithms for processing and analyzing genomic information, or other biological information.",98920.0,55850.0,0.7740585774058577,0.514047866805411,0.6440532221056343,3.81,7.0,2.51,1.64,1.26,5.04,5.0,9.076300000000002,100.0,3.62,4.0,4.12,3.5,4.12,3.75,4.0,3.88,4.0,3.0,3.0,3.62,2.0,2.12,2.88,2.75,1.25,2.25,2.25,2.88,2.12,2.12,1.0,2.88,3.25,3.25,3.25,2.25,3.38,2.0
19-1029.02,19-1029,Molecular and Cellular Biologists,Research and study cellular molecules and organelles to understand cell function and organization.,98920.0,55850.0,0.7740585774058577,0.514047866805411,0.6440532221056343,5.03,6.66,1.95,2.27,2.58,5.1,5.0,9.384661533846616,100.01,3.88,4.0,4.12,3.75,4.38,4.75,4.0,4.25,4.0,3.12,3.75,4.0,2.62,2.88,3.0,3.0,2.62,3.12,2.88,3.12,2.12,2.88,1.0,2.62,3.25,3.0,3.0,2.0,3.12,2.0
19-1029.03,19-1029,Geneticists,"Research and study the inheritance of traits at the molecular, organism or population level. May evaluate or treat patients with genetic disorders.",98920.0,55850.0,0.7740585774058577,0.514047866805411,0.6440532221056343,4.05,7.0,2.95,2.91,1.61,4.78,5.0,9.96,100.0,4.0,4.0,4.0,3.88,4.25,4.12,4.0,4.0,4.0,3.12,3.75,4.0,2.12,2.12,3.12,3.0,1.75,2.12,2.75,3.12,1.88,2.62,1.0,3.0,3.5,3.62,3.0,1.88,3.0,2.0
19-1029.04,19-1029,Biologists,"Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions.",98920.0,55850.0,0.7740585774058577,0.514047866805411,0.6440532221056343,4.11,7.0,2.4,2.62,2.76,4.45,5.0,8.3964,100.0,3.88,4.0,4.0,3.88,4.12,4.62,4.0,4.12,3.75,3.0,3.0,3.75,1.88,1.88,3.0,2.5,1.88,1.75,1.88,2.75,3.0,2.5,1.0,2.62,3.0,3.0,3.0,1.62,3.0,1.62
19-1031.00,19-1031,Conservation Scientists,"Manage, improve, and protect natural resources to maximize their use without damaging the environment. May conduct soil surveys and develop plans to eliminate soil erosion or to protect rangelands. May instruct farmers, agricultural production managers, or ranchers in best ways to use crop rotation, contour plowing, or terracing to conserve soil and water; in the number and kind of livestock and forage plants best suited to particular ranges; and in range and farm improvements, such as fencing and reservoirs for stock watering.",73010.0,25950.0,0.5679916317991632,0.3558792924037461,0.4619354621014546,5.15,5.7,1.97,2.87,3.16,3.98,4.0,6.4347565243475655,95.66,3.25,3.88,3.5,3.12,3.88,3.5,3.62,3.5,3.62,3.12,2.88,3.25,2.25,2.38,2.88,3.0,2.25,2.38,2.38,3.12,1.88,2.25,1.12,3.12,3.25,3.12,3.12,1.88,3.25,2.0
19-1031.02,19-1031,Range Managers,"Research or study range land management practices to provide sustained production of forage, livestock, and wildlife.",73010.0,25950.0,0.5679916317991632,0.3558792924037461,0.4619354621014546,5.76,5.02,1.47,2.42,4.39,3.68,4.0,6.093590640935906,90.28,3.25,4.0,3.75,2.88,3.88,2.88,3.75,3.25,3.62,3.5,3.0,3.62,1.88,2.12,2.88,3.25,2.62,2.88,2.75,3.0,1.5,2.12,1.38,3.0,3.12,3.25,3.12,1.5,3.0,1.75
19-1031.03,19-1031,Park Naturalists,"Plan, develop, and conduct programs to inform public of historical, natural, and scientific features of national, state, or local park.",73010.0,25950.0,0.5679916317991632,0.3558792924037461,0.4619354621014546,4.38,4.24,3.74,4.87,3.46,3.43,4.0,5.429557044295571,59.99,3.25,3.88,3.62,1.88,3.88,2.38,4.12,3.75,3.12,3.12,3.25,3.25,2.0,2.25,3.0,2.62,2.0,2.62,2.38,2.88,1.5,2.0,1.12,3.5,3.75,2.75,2.75,1.75,3.0,1.88
19-1032.00,19-1032,Foresters,"Manage public and private forested lands for economic, recreational, and conservation purposes. May inventory the type, amount, and location of standing timber, appraise the timber's worth, negotiate the purchase, and draw up contracts for procurement. May determine how to conserve wildlife habitats, creek beds, water quality, and soil stability, and how best to comply with environmental regulations. May devise plans for planting and growing new trees, monitor trees for healthy growth, and determine optimal harvesting schedules.",76400.0,10430.0,0.6077405857740585,0.1560874089490114,0.381913997361535,5.32,4.48,1.25,2.3,3.78,4.39,4.0,5.833116688331168,84.77,3.12,4.0,3.88,2.88,3.88,2.75,3.88,3.75,3.88,3.5,3.0,3.75,2.88,3.12,3.12,3.25,2.88,2.88,3.0,3.12,1.5,2.5,1.62,3.0,3.25,3.62,3.62,2.12,3.5,2.0
19-1041.00,19-1041,Epidemiologists,"Investigate and describe the determinants and distribution of disease, disability, or health outcomes. May develop the means for prevention and control.",87220.0,12090.0,0.7123430962343096,0.1800208116545265,0.446181953944418,2.82,7.0,2.19,4.11,2.37,3.63,5.0,9.2221,100.0,4.0,4.12,4.25,3.75,4.25,4.12,4.12,4.12,4.25,3.75,3.25,4.25,2.12,2.0,3.12,2.88,1.0,3.0,1.5,3.12,1.62,1.5,1.0,3.25,3.88,4.0,4.0,1.38,3.25,1.0
19-1042.00,19-1042,"Medical Scientists, Except Epidemiologists","Conduct research dealing with the understanding of human diseases and the improvement of human health. Engage in clinical investigation, research and development, or other related activities.",103410.0,172340.0,0.8127615062761506,0.7471383975026015,0.779949951889376,4.27,7.0,2.42,3.29,2.22,3.7,5.0,9.9748,100.0,4.12,4.0,4.0,3.62,4.0,4.12,4.12,4.25,3.88,3.0,3.25,4.0,1.75,1.88,2.88,2.88,1.88,2.88,2.75,2.88,2.0,2.25,1.0,3.12,3.0,3.75,3.25,1.75,3.12,1.75
19-1099.00,19-1099,"Life Scientists, All Other",All life scientists not listed separately.,93750.0,7460.0,0.7405857740585774,0.1113423517169615,0.4259640628877694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2011.00,19-2011,Astronomers,"Observe, research, and interpret astronomical phenomena to increase basic knowledge or apply such information to practical problems.",128820.0,2120.0,0.9110878661087866,0.0260145681581685,0.4685512171334776,5.07,7.0,3.28,2.71,1.87,4.04,5.0,10.999900009999,100.01,4.0,4.0,4.12,4.12,4.25,4.25,4.0,4.12,3.5,3.12,3.0,3.62,2.5,2.0,3.0,2.62,1.75,2.62,2.0,3.0,2.25,1.75,1.12,2.88,3.12,3.0,3.0,2.0,2.88,1.38
19-2012.00,19-2012,Physicists,"Conduct research into physical phenomena, develop theories on the basis of observation and experiments, and devise methods to apply physical laws and theories.",172250.0,20430.0,0.9654811715481172,0.2996878251821019,0.6325844983651095,4.94,7.0,2.75,2.12,1.77,4.8,5.0,11.03929607039296,100.01,4.0,4.0,4.12,4.25,4.25,4.62,4.12,4.0,3.88,3.0,3.62,3.75,2.25,2.12,3.0,2.75,1.62,3.12,2.38,3.12,3.38,2.62,1.0,3.0,3.25,3.38,3.38,2.75,3.12,2.0
19-2021.00,19-2021,Atmospheric and Space Scientists,"Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology.",99070.0,10000.0,0.7771966527196653,0.1529656607700312,0.4650811567448483,4.77,6.26,2.72,2.49,2.68,4.45,4.0,7.45,100.0,4.0,4.0,4.0,3.38,4.12,4.0,4.0,3.88,3.88,3.0,3.0,3.75,1.75,1.75,2.88,2.5,1.12,2.62,2.0,2.88,2.0,1.62,1.0,2.88,3.12,3.12,2.88,1.75,3.0,1.0
19-2031.00,19-2031,Chemists,Conduct qualitative and quantitative chemical analyses or experiments in laboratories for quality or process control or to develop new products or knowledge.,91240.0,82770.0,0.7280334728033473,0.5941727367325702,0.6611031047679587,5.67,6.71,1.52,1.14,1.6,4.81,4.0,7.740799999999999,100.0,3.62,3.75,4.0,3.75,4.0,4.12,3.88,3.75,3.62,3.0,3.0,3.25,1.88,2.25,2.75,2.12,2.25,2.5,3.0,2.5,2.12,3.25,2.12,2.5,3.0,3.12,3.12,1.62,3.0,2.88
19-2032.00,19-2032,Materials Scientists,"Research and study the structures and chemical properties of various natural and synthetic or composite materials, including metals, alloys, rubber, ceramics, semiconductors, polymers, and glass. Determine ways to strengthen or combine materials or develop new materials with new or specific properties for use in a variety of products and applications. Includes glass scientists, ceramic scientists, metallurgical scientists, and polymer scientists.",117790.0,8470.0,0.8744769874476988,0.1290322580645161,0.5017546227561074,5.82,6.59,2.17,1.39,1.86,4.15,4.0,7.190619061906191,95.23,3.75,4.0,4.0,3.5,4.0,4.0,3.75,3.88,4.0,3.0,2.88,3.62,2.12,2.12,2.5,2.62,2.0,3.12,2.75,3.12,1.88,2.88,1.38,2.75,3.0,3.0,3.12,1.88,3.0,2.0
19-2041.00,19-2041,"Environmental Scientists and Specialists, Including Health","Conduct research or perform investigation for the purpose of identifying, abating, or eliminating sources of pollutants or hazards that affect either the environment or public health. Using knowledge of various scientific disciplines, may collect, synthesize, study, report, and recommend action based on data derived from measurements or observations of air, food, soil, water, and other sources.",82220.0,89250.0,0.6877615062761506,0.605098855359001,0.6464301808175759,4.76,7.0,1.87,2.75,2.56,4.32,4.0,5.7337,77.92,3.75,4.0,3.88,3.25,4.0,4.0,4.0,4.0,4.0,3.62,3.12,3.25,2.12,2.12,3.12,3.0,2.0,2.62,2.38,3.0,2.0,2.62,1.0,3.0,3.12,3.0,3.0,1.88,3.25,2.0
19-2041.01,19-2041,Climate Change Policy Analysts,"Research and analyze policy developments related to climate change. Make climate-related recommendations for actions such as legislation, awareness campaigns, or fundraising approaches.",82220.0,89250.0,0.6877615062761506,0.605098855359001,0.6464301808175759,1.37,6.73,3.11,3.17,4.69,4.06,5.0,8.3479,100.0,3.75,4.0,4.0,3.0,4.25,2.62,3.88,3.88,3.75,3.0,3.12,3.12,2.0,2.0,2.75,3.0,1.0,2.12,2.0,3.12,1.88,1.12,1.0,3.0,3.12,3.5,3.62,1.88,3.38,1.0
19-2041.02,19-2041,Environmental Restoration Planners,"Collaborate with field and biology staff to oversee the implementation of restoration projects and to develop new products. Process and synthesize complex scientific data into practical strategies for restoration, monitoring or management.",82220.0,89250.0,0.6877615062761506,0.605098855359001,0.6464301808175759,5.31,6.25,2.24,2.12,3.63,4.13,5.0,6.9091,100.0,3.5,3.88,4.0,3.25,3.88,3.5,3.88,3.88,3.88,3.25,2.88,3.88,2.5,2.5,2.88,3.12,2.12,2.88,2.62,3.0,2.25,2.38,1.0,3.12,3.38,3.62,3.5,2.0,3.0,1.62
19-2041.03,19-2041,Industrial Ecologists,Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment.,82220.0,89250.0,0.6877615062761506,0.605098855359001,0.6464301808175759,4.62,7.0,2.14,1.95,3.04,3.98,5.0,7.782721727827216,100.01,3.62,4.0,3.88,3.38,4.12,3.62,4.0,4.0,3.75,3.0,3.0,3.75,2.12,2.12,3.0,2.62,1.0,2.38,1.88,3.0,2.0,2.12,1.0,2.75,3.12,3.75,3.38,1.88,3.0,1.0
19-2042.00,19-2042,"Geoscientists, Except Hydrologists and Geographers","Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, and oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, paleontologists, stratigraphers, geodesists, and seismologists.",101920.0,23470.0,0.797071129707113,0.3350676378772112,0.5660693837921621,5.59,7.0,2.72,2.24,1.65,4.16,5.0,7.750199999999999,100.0,3.25,3.88,4.0,3.38,4.12,4.0,4.0,3.88,3.88,3.12,3.0,3.88,1.75,1.62,2.62,2.62,2.0,2.62,2.0,2.88,2.0,2.0,1.0,2.62,3.0,3.25,3.25,1.62,2.88,1.5
19-2043.00,19-2043,Hydrologists,"Research the distribution, circulation, and physical properties of underground and surface waters; and study the form and intensity of precipitation and its rate of infiltration into the soil, movement through the earth, and return to the ocean and atmosphere.",96600.0,5850.0,0.75418410041841,0.0905306971904266,0.4223573988044183,5.84,6.41,1.63,2.14,2.29,4.31,5.0,7.347900000000001,100.0,3.62,3.88,4.0,3.75,3.88,3.88,3.75,3.62,3.75,3.12,3.0,3.5,1.75,2.0,2.75,2.88,1.88,2.38,2.62,3.0,2.12,2.75,1.88,2.88,3.0,3.38,3.0,1.62,2.88,2.0
19-2099.00,19-2099,"Physical Scientists, All Other",All physical scientists not listed separately.,122570.0,22300.0,0.8812761506276151,0.322060353798127,0.601668252212871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-2099.01,19-2099,Remote Sensing Scientists and Technologists,"Apply remote sensing principles and methods to analyze data and solve problems in areas such as natural resource management, urban planning, or homeland security. May develop new sensor systems, analytical techniques, or new applications for existing systems.",122570.0,22300.0,0.8812761506276151,0.322060353798127,0.601668252212871,4.86,6.09,1.93,1.27,1.44,4.81,4.0,6.52,96.0,3.38,3.88,4.0,3.75,4.0,3.88,3.88,3.88,3.75,3.0,3.0,3.75,1.75,1.88,2.88,2.5,2.0,3.25,2.5,2.62,2.88,2.38,1.0,2.88,2.88,3.62,3.62,2.38,2.88,1.5
19-3011.00,19-3011,Economists,"Conduct research, prepare reports, or formulate plans to address economic problems related to the production and distribution of goods and services or monetary and fiscal policy. May collect and process economic and statistical data using sampling techniques and econometric methods.",124720.0,17790.0,0.8969665271966527,0.2679500520291363,0.5824582896128945,1.35,7.0,2.43,2.4,3.93,4.53,5.0,8.5002,100.0,3.75,4.0,4.12,4.12,4.12,1.88,4.0,4.0,3.75,3.0,3.25,4.0,1.62,1.62,2.5,2.25,1.0,2.62,1.5,3.0,2.12,1.25,1.0,3.0,3.0,3.12,3.25,1.38,3.0,1.0
19-3011.01,19-3011,Environmental Economists,"Conduct economic analysis related to environmental protection and use of the natural environment, such as water, air, land, and renewable energy resources. Evaluate and quantify benefits, costs, incentives, and impacts of alternative options using economic principles and statistical techniques.",124720.0,17790.0,0.8969665271966527,0.2679500520291363,0.5824582896128945,2.74,7.0,2.53,2.28,4.11,4.08,5.0,9.25912591259126,99.99,3.88,4.0,4.0,4.0,4.0,2.38,3.5,4.12,3.62,3.0,3.25,3.62,3.12,2.12,2.62,2.5,1.0,2.0,1.0,3.0,1.88,1.88,1.0,2.75,3.0,3.38,3.12,1.75,3.0,1.0
19-3022.00,19-3022,Survey Researchers,"Plan, develop, or conduct surveys. May analyze and interpret the meaning of survey data, determine survey objectives, or suggest or test question wording. Includes social scientists who primarily design questionnaires or supervise survey teams.",69460.0,8290.0,0.5418410041841004,0.1269510926118626,0.3343960483979815,1.68,6.11,2.31,2.34,3.02,5.25,5.0,7.231076892310769,100.01,3.88,4.25,4.25,4.0,4.25,2.88,4.25,4.25,3.88,3.38,3.0,3.75,1.88,2.0,3.0,2.88,1.0,2.62,1.75,3.0,2.75,2.25,1.0,3.12,3.12,3.25,3.25,1.88,3.12,1.0
19-3032.00,19-3032,Industrial-Organizational Psychologists,"Apply principles of psychology to human resources, administration, management, sales, and marketing problems. Activities may include policy planning; employee testing and selection, training, and development; and organizational development and analysis. May work with management to organize the work setting to improve worker productivity.",193950.0,790.0,0.9675732217573222,0.0052029136316337,0.4863880676944779,1.05,5.34,3.13,3.99,4.71,4.28,5.0,8.576542345765425,92.31,3.88,4.38,4.12,3.5,4.38,3.75,4.12,4.25,4.0,3.75,3.62,4.12,2.12,2.12,3.38,3.25,1.0,3.5,2.0,3.75,2.75,2.0,1.0,3.38,3.88,3.88,4.0,1.88,3.62,1.0
19-3033.00,19-3033,Clinical and Counseling Psychologists,"Assess, diagnose, and treat mental and emotional disorders of individuals through observation, interview, and psychological tests. Help individuals with distress or maladjustment understand their problems through their knowledge of case history, interviews with patients, and theory. Provide individual or group counseling services to assist individuals in achieving more effective personal, social, educational, and vocational development and adjustment. May design behavior modification programs and consult with medical personnel regarding the best treatment for patients.",100580.0,75990.0,0.7876569037656904,0.5816857440166493,0.6846713238911699,1.05,5.58,3.06,6.57,2.65,3.49,5.0,11.24,100.0,3.88,4.25,4.25,2.25,4.75,2.38,4.12,4.25,3.75,3.5,3.25,3.75,1.5,1.5,2.75,3.12,1.0,1.62,1.75,3.5,1.62,1.0,1.0,3.75,4.38,3.0,3.0,1.62,3.25,1.0
19-3034.00,19-3034,School Psychologists,"Diagnose and implement individual or schoolwide interventions or strategies to address educational, behavioral, or developmental issues that adversely impact educational functioning in a school. May address student learning and behavioral problems and counsel students or families. May design and implement performance plans, and evaluate performance. May consult with other school-based personnel.",95990.0,63940.0,0.752092050209205,0.5411030176899063,0.6465975339495557,1.0,5.0,3.31,6.77,2.82,4.01,5.0,8.5386,100.0,3.62,4.38,4.0,2.75,4.25,2.0,4.25,4.0,3.75,3.62,3.25,3.88,1.0,1.0,2.75,3.38,1.0,1.75,1.75,3.5,1.75,1.38,1.0,3.75,4.0,3.12,3.12,1.62,3.38,1.0
19-3039.00,19-3039,"Psychologists, All Other",All psychologists not listed separately.,110840.0,18820.0,0.850418410041841,0.2788761706555671,0.5646472903487041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-3039.02,19-3039,Neuropsychologists,"Apply theories and principles of neuropsychology to evaluate and diagnose disorders of higher cerebral functioning, often in research and medical settings. Study the human brain and the effect of physiological states on human cognition and behavior. May formulate and administer programs of treatment.",110840.0,18820.0,0.850418410041841,0.2788761706555671,0.5646472903487041,2.63,7.0,3.28,5.29,1.69,3.32,5.0,11.84,100.0,3.88,4.5,4.25,3.0,4.5,3.62,4.25,4.38,4.12,3.25,3.38,4.25,1.75,1.75,2.88,3.0,1.12,1.88,2.0,3.25,1.88,2.25,1.0,3.62,4.12,3.25,3.25,1.62,3.12,1.75
19-3039.03,19-3039,Clinical Neuropsychologists,"Assess and diagnose patients with neurobehavioral problems related to acquired or developmental disorders of the nervous system, such as neurodegenerative disorders, traumatic brain injury, seizure disorders, and learning disabilities. Recommend treatment after diagnosis, such as therapy, medication, or surgery. Assist with evaluation before and after neurosurgical procedures, such as deep brain stimulation.",110840.0,18820.0,0.850418410041841,0.2788761706555671,0.5646472903487041,2.82,7.0,2.4,5.69,2.07,3.49,5.0,11.9167,100.0,3.75,4.38,4.25,2.62,4.12,2.62,4.0,3.88,4.0,3.5,3.38,4.12,2.0,1.88,2.75,3.0,1.0,1.5,1.88,3.38,1.75,1.38,1.0,3.75,4.12,3.12,2.75,1.75,3.38,1.0
19-3041.00,19-3041,Sociologists,"Study human society and social behavior by examining the groups and social institutions that people form, as well as various social, religious, political, and business organizations. May study the behavior and interaction of groups, trace their origin and growth, and analyze the influence of group activities on individual members.",106030.0,2260.0,0.8326359832635983,0.0291363163371488,0.4308861498003735,1.56,6.5,3.99,4.36,3.08,3.6,5.0,9.7,100.0,4.0,4.12,4.0,2.88,4.0,3.12,4.12,4.0,3.62,3.12,3.62,3.62,1.62,1.75,2.88,2.75,1.0,2.38,1.38,2.88,1.75,1.12,1.0,3.0,3.88,3.12,3.12,1.62,3.0,1.0
19-3051.00,19-3051,Urban and Regional Planners,"Develop comprehensive plans and programs for use of land and physical facilities of jurisdictions, such as towns, cities, counties, and metropolitan areas.",89320.0,44230.0,0.7186192468619247,0.4682622268470343,0.5934407368544795,3.22,5.31,3.06,3.03,4.46,3.96,5.0,7.28,100.0,3.25,4.12,4.0,3.0,4.0,2.62,4.12,3.88,3.75,3.25,3.0,4.12,2.5,2.25,3.0,3.38,1.38,3.12,1.75,3.12,1.75,1.62,1.0,3.25,3.62,4.0,3.75,1.62,3.25,1.0
19-3091.00,19-3091,Anthropologists and Archeologists,"Study the origin, development, and behavior of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world. May engage in systematic recovery and examination of material evidence, such as tools or pottery remaining from past human cultures, in order to determine the history, customs, and living habits of earlier civilizations.",70770.0,8990.0,0.553347280334728,0.1394380853277835,0.3463926828312558,3.99,6.84,4.21,3.67,1.63,3.19,5.0,8.45,90.0,3.88,4.12,4.12,2.75,4.12,3.0,4.25,4.25,3.75,3.12,3.25,3.25,1.88,2.0,3.0,2.62,1.5,1.5,1.75,2.88,1.5,1.62,1.0,2.75,3.12,3.0,2.88,1.5,3.0,1.0
19-3092.00,19-3092,Geographers,"Study the nature and use of areas of the Earth's surface, relating and interpreting interactions of physical and cultural phenomena. Conduct research on physical aspects of a region, including land forms, climates, soils, plants, and animals, and conduct research on the spatial implications of human activities within a given area, including social characteristics, economic activities, and political organization, as well as researching interdependence between regions at scales ranging from local to global.",102040.0,1400.0,0.8007322175732218,0.0166493236212278,0.4086907705972248,5.11,6.74,3.69,2.72,2.1,3.69,4.0,7.9,95.0,3.62,3.75,4.0,3.0,4.12,3.38,4.0,4.12,3.5,3.0,3.12,3.62,1.62,1.75,2.5,2.75,1.12,2.5,1.62,2.62,1.88,1.38,1.0,3.0,3.0,3.38,3.12,1.75,3.0,1.0
19-3093.00,19-3093,Historians,"Research, analyze, record, and interpret the past as recorded in sources, such as government and institutional records, newspapers and other periodicals, photographs, interviews, films, electronic media, and unpublished manuscripts, such as personal diaries and letters.",76750.0,3450.0,0.6161087866108786,0.0556711758584807,0.3358899812346797,2.39,5.32,3.7,3.22,2.35,4.87,5.0,6.9373000000000005,81.19,4.0,4.0,4.12,2.0,4.75,2.62,4.0,4.12,3.38,3.0,3.12,3.12,1.62,1.75,2.5,2.5,1.0,2.0,1.38,2.75,1.38,1.62,1.0,2.38,3.12,2.25,2.25,1.5,2.88,1.0
19-3094.00,19-3094,Political Scientists,"Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decisionmaking, and ideology. May analyze the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyze election results, or analyze public documents.",142080.0,5540.0,0.9414225941422594,0.086888657648283,0.5141556258952712,1.0,6.71,3.87,3.42,3.61,3.52,5.0,10.807800000000002,100.0,4.12,4.12,4.0,3.0,4.25,2.62,4.12,4.0,3.62,3.0,3.5,3.62,1.62,1.62,2.12,2.75,1.0,2.5,1.38,2.88,1.5,1.38,1.0,3.0,3.75,3.0,3.12,1.5,2.88,1.0
19-3099.00,19-3099,"Social Scientists and Related Workers, All Other",All social scientists and related workers not listed separately.,101110.0,37100.0,0.7923640167364017,0.4386056191467222,0.615484817941562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-3099.01,19-3099,Transportation Planners,"Prepare studies for proposed transportation projects. Gather, compile, and analyze data. Study the use and operation of transportation systems. Develop transportation models or simulations.",101110.0,37100.0,0.7923640167364017,0.4386056191467222,0.615484817941562,3.59,5.6,2.01,1.76,3.14,4.87,4.0,6.9,100.0,3.75,4.0,4.0,3.38,4.0,2.38,4.0,4.0,4.0,3.62,2.88,3.88,2.12,2.38,2.75,3.0,1.62,3.25,1.88,3.0,2.25,1.5,1.0,3.0,3.0,3.5,3.75,1.62,3.25,1.0
19-4012.00,19-4012,Agricultural Technicians,"Work with agricultural scientists in plant, fiber, and animal research, or assist with animal breeding and nutrition. Set up or maintain laboratory equipment and collect samples from crops or animals. Prepare specimens or record data to assist scientists in biology or related life science experiments. Conduct tests and experiments to improve yield and quality of crops or to increase the resistance of plants and animals to disease or insects.",49630.0,15130.0,0.2834728033472803,0.2398543184183142,0.2616635608827973,6.82,4.57,1.0,1.46,1.99,4.26,3.0,4.474752524747525,36.82,3.12,3.25,3.25,2.88,3.38,2.75,3.0,3.12,2.88,3.0,3.0,3.12,1.88,2.0,2.75,2.5,2.75,1.25,3.0,2.5,1.38,2.0,2.12,2.62,2.88,2.62,2.5,1.5,3.0,2.12
19-4012.01,19-4012,Precision Agriculture Technicians,"Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather.",49630.0,15130.0,0.2834728033472803,0.2398543184183142,0.2616635608827973,6.46,5.4,1.23,1.39,2.11,4.95,3.0,4.8260000000000005,39.13,3.38,3.75,3.75,3.25,3.88,2.88,3.75,3.5,3.38,3.0,2.75,3.25,1.75,1.88,2.25,2.62,2.88,2.88,2.88,2.75,2.38,2.62,2.38,2.75,2.75,3.12,3.12,1.62,3.0,2.62
19-4013.00,19-4013,Food Science Technicians,"Work with food scientists or technologists to perform standardized qualitative and quantitative tests to determine physical or chemical properties of food or beverage products. Includes technicians who assist in research and development of production technology, quality control, packaging, processing, and use of foods.",52130.0,14600.0,0.3347280334728033,0.2330905306971904,0.2839092820849969,5.57,4.51,1.33,1.73,1.96,5.04,3.0,5.218521852185218,47.49,3.0,3.5,3.25,2.75,3.75,3.25,3.5,3.5,3.12,3.12,3.0,3.0,1.5,2.0,2.62,2.0,2.12,1.38,2.75,2.0,1.38,3.12,1.75,2.25,2.88,2.25,2.38,1.38,3.0,2.12
19-4021.00,19-4021,Biological Technicians,"Assist biological and medical scientists. Set up, operate, and maintain laboratory instruments and equipment, monitor experiments, collect data and samples, make observations, and calculate and record results. May analyze organic substances, such as blood, food, and drugs.",57510.0,69620.0,0.3880753138075314,0.5619146722164412,0.4749949930119863,5.6,5.36,1.2,1.97,1.31,5.62,4.0,6.8126,96.21,3.5,3.75,3.88,3.0,4.0,3.75,3.25,3.38,3.25,2.75,2.38,3.12,1.88,2.25,2.12,1.88,2.62,1.88,3.0,2.0,1.88,2.88,1.75,2.25,2.75,3.0,2.75,1.88,2.88,2.62
