feature,role,reason
work_activity_establishing_and_maintaining_interpersonal_relationships_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_establishing_and_maintaining_interpersonal_relationships_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_estimating_the_quantifiable_characteristics_of_products_events_or_information_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_estimating_the_quantifiable_characteristics_of_products_events_or_information_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_evaluating_information_to_determine_compliance_with_standards_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_evaluating_information_to_determine_compliance_with_standards_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_getting_information_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_getting_information_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_guiding_directing_and_motivating_subordinates_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_guiding_directing_and_motivating_subordinates_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_handling_and_moving_objects_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_handling_and_moving_objects_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_identifying_objects_actions_and_events_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_identifying_objects_actions_and_events_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_inspecting_equipment_structures_or_materials_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_inspecting_equipment_structures_or_materials_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_interpreting_the_meaning_of_information_for_others_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_interpreting_the_meaning_of_information_for_others_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_judging_the_qualities_of_objects_services_or_people_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_judging_the_qualities_of_objects_services_or_people_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_making_decisions_and_solving_problems_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_making_decisions_and_solving_problems_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_monitoring_and_controlling_resources_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_monitoring_and_controlling_resources_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_monitoring_processes_materials_or_surroundings_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_monitoring_processes_materials_or_surroundings_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_operating_vehicles_mechanized_devices_or_equipment_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_operating_vehicles_mechanized_devices_or_equipment_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_organizing_planning_and_prioritizing_work_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_organizing_planning_and_prioritizing_work_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_performing_administrative_activities_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_performing_administrative_activities_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_performing_for_or_working_directly_with_the_public_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_performing_for_or_working_directly_with_the_public_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_performing_general_physical_activities_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_performing_general_physical_activities_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_processing_information_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_processing_information_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_providing_consultation_and_advice_to_others_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_providing_consultation_and_advice_to_others_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_repairing_and_maintaining_electronic_equipment_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_repairing_and_maintaining_electronic_equipment_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_repairing_and_maintaining_mechanical_equipment_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_repairing_and_maintaining_mechanical_equipment_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_resolving_conflicts_and_negotiating_with_others_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_resolving_conflicts_and_negotiating_with_others_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_scheduling_work_and_activities_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_scheduling_work_and_activities_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_selling_or_influencing_others_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_selling_or_influencing_others_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_staffing_organizational_units_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_staffing_organizational_units_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_thinking_creatively_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_thinking_creatively_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_training_and_teaching_others_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_training_and_teaching_others_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_updating_and_using_relevant_knowledge_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_updating_and_using_relevant_knowledge_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_working_with_computers_im,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_working_with_computers_lv,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
interest_artistic,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
interest_conventional,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
interest_enterprising,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
interest_investigative,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
interest_realistic,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
interest_social,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
work_style_achievement_orientation_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_adaptability_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_attention_to_detail_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_cautiousness_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_cooperation_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_dependability_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_empathy_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_humility_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_initiative_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_innovation_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_integrity_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_intellectual_curiosity_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_leadership_orientation_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_optimism_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_perseverance_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_self_confidence_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_self_control_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_sincerity_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_social_orientation_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_stress_tolerance_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_style_tolerance_for_ambiguity_impact,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
job_zone,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
education_expected_category,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
education_response_total,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
education_modal_category,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
education_bachelors_or_higher_pct,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
essential_skill_importance_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_importance_max,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_level_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
essential_skill_level_max,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_importance_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_importance_max,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_level_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
transferable_skill_level_max,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_importance_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_importance_max,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_level_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
knowledge_level_max,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_importance_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_importance_max,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_level_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
ability_level_max,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_importance_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_importance_max,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_level_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
work_activity_level_max,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
dominant_interest,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
interest_score_max,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
interest_score_range,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
bls_occ_title,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
tot_emp,display_only,"Retained to identify and explain recommendations, but not used as a model input."
emp_prse,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
h_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
a_mean,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
mean_prse,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
h_pct10,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
h_pct25,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
h_median,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
h_pct75,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
h_pct90,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
a_pct10,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
a_pct25,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
a_median,display_only,"Retained to identify and explain recommendations, but not used as a model input."
a_pct75,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
a_pct90,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
annual,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
hourly,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
bls_match,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
employment_log1p,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
annual_wage_spread_90_10,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
annual_wage_iqr,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
median_to_mean_wage_ratio,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
wage_data_available,excluded,"Identifier, description, duplicate, intermediate, aggregate, or non-questionnaire feature."
median_wage_percentile,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
employment_percentile,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
labor_market_opportunity_score,modeling,Questionnaire-compatible or labor-market feature used by recommendation models.
